
time 04h 15m 03s, episodes 7306, frames 53.9 M, mean_epr 10.64, run_loss -177.51

	54M frames: saved model

time 04h 16m 03s, episodes 7325, frames 54.1 M, mean_epr 10.12, run_loss -178.95
time 04h 17m 04s, episodes 7346, frames 54.3 M, mean_epr 10.18, run_loss -177.50
time 04h 18m 04s, episodes 7368, frames 54.5 M, mean_epr 10.04, run_loss -178.99
time 04h 19m 04s, episodes 7387, frames 54.7 M, mean_epr 10.30, run_loss -178.15
time 04h 20m 04s, episodes 7409, frames 54.9 M, mean_epr 10.73, run_loss -178.68
time 04h 21m 04s, episodes 7432, frames 55.1 M, mean_epr 10.58, run_loss -179.34
time 04h 22m 04s, episodes 7453, frames 55.3 M, mean_epr 10.43, run_loss -178.40
time 04h 23m 04s, episodes 7469, frames 55.5 M, mean_epr 10.70, run_loss -176.52
time 04h 24m 04s, episodes 7491, frames 55.7 M, mean_epr 10.58, run_loss -176.88
time 04h 25m 04s, episodes 7509, frames 55.9 M, mean_epr 10.80, run_loss -176.43

	56M frames: saved model

time 04h 26m 04s, episodes 7529, frames 56.1 M, mean_epr 11.17, run_loss -176.55
time 04h 27m 04s, episodes 7548, frames 56.3 M, mean_epr 10.97, run_loss -177.21
time 04h 28m 04s, episodes 7569, frames 56.5 M, mean_epr 11.34, run_loss -174.67
time 04h 29m 04s, episodes 7590, frames 56.7 M, mean_epr 11.55, run_loss -173.98
time 04h 30m 04s, episodes 7606, frames 56.9 M, mean_epr 11.37, run_loss -174.77
time 04h 31m 04s, episodes 7623, frames 57.0 M, mean_epr 11.12, run_loss -175.65
time 04h 32m 04s, episodes 7643, frames 57.2 M, mean_epr 10.78, run_loss -175.93
time 04h 33m 04s, episodes 7663, frames 57.4 M, mean_epr 10.40, run_loss -177.39
time 04h 34m 04s, episodes 7685, frames 57.6 M, mean_epr 11.11, run_loss -176.35
time 04h 35m 04s, episodes 7702, frames 57.8 M, mean_epr 11.47, run_loss -176.56
time 04h 36m 04s, episodes 7720, frames 58.0 M, mean_epr 11.41, run_loss -176.73

	58M frames: saved model

time 04h 37m 04s, episodes 7739, frames 58.2 M, mean_epr 11.77, run_loss -175.25
time 04h 38m 04s, episodes 7757, frames 58.3 M, mean_epr 11.76, run_loss -175.80
time 04h 39m 04s, episodes 7777, frames 58.5 M, mean_epr 12.09, run_loss -174.35
time 04h 40m 04s, episodes 7795, frames 58.7 M, mean_epr 11.88, run_loss -177.52
time 04h 41m 04s, episodes 7814, frames 58.9 M, mean_epr 12.09, run_loss -173.47
time 04h 42m 04s, episodes 7835, frames 59.1 M, mean_epr 12.47, run_loss -172.69
time 04h 43m 04s, episodes 7854, frames 59.3 M, mean_epr 12.16, run_loss -172.37
time 04h 44m 04s, episodes 7876, frames 59.5 M, mean_epr 12.40, run_loss -172.17
time 04h 45m 04s, episodes 7896, frames 59.7 M, mean_epr 12.91, run_loss -172.89
time 04h 46m 04s, episodes 7915, frames 59.8 M, mean_epr 13.19, run_loss -169.87

	60M frames: saved model

time 04h 47m 04s, episodes 7934, frames 60.0 M, mean_epr 13.36, run_loss -171.00
time 04h 48m 04s, episodes 7954, frames 60.2 M, mean_epr 13.25, run_loss -169.52
time 04h 49m 04s, episodes 7973, frames 60.4 M, mean_epr 13.58, run_loss -170.05
time 04h 50m 04s, episodes 7993, frames 60.5 M, mean_epr 13.61, run_loss -170.51
time 04h 51m 04s, episodes 8010, frames 60.7 M, mean_epr 13.72, run_loss -170.67
time 04h 52m 04s, episodes 8026, frames 60.9 M, mean_epr 13.26, run_loss -170.92
time 04h 53m 04s, episodes 8046, frames 61.1 M, mean_epr 12.23, run_loss -173.87
time 04h 54m 04s, episodes 8063, frames 61.2 M, mean_epr 12.19, run_loss -173.58
time 04h 55m 04s, episodes 8081, frames 61.4 M, mean_epr 12.34, run_loss -173.70
time 04h 56m 04s, episodes 8100, frames 61.6 M, mean_epr 12.46, run_loss -175.13
time 04h 57m 04s, episodes 8119, frames 61.8 M, mean_epr 12.29, run_loss -175.65
